Time,Susceptible,Incubating,Contagious,Recovered,Total population,Field 6,Expected poulation growth (days-1),Field 8,Field 9
63.44,2705881.71191375,59.44320404,8.29871502,25.27281561,2705974.72664842,,,,
64.05,2705876.64987633,61.97078375,8.65158725,26.36358471,2705973.63583204,,,,
64.66,2705871.37260241,64.60583036,9.01946308,27.50073474,2705972.49863060,,,,
65.27,2705865.87094114,67.35291242,9.40298036,28.68623775,2705971.31307167,,,,
65.88,2705860.13535270,70.21679263,9.80280404,29.92214963,2705970.07709899,,,,
66.49,2705854.15589180,73.20243607,10.21962733,31.21061365,2705968.78856885,,,,
67.10,2705847.92219040,76.31501884,10.65417291,32.55386422,2705967.44524638,,,,
67.71,2705841.42343979,79.55993698,11.10719417,33.95423073,2705966.04480168,,,,
68.32,2705834.64837186,82.94281583,11.57947652,35.41414160,2705964.58480580,,,,
68.93,2705827.58523959,86.46951975,12.07183872,36.93612845,2705963.06272651,,,,
69.54,2705820.22179666,90.14616228,12.58513437,38.52283057,2705961.47592388,,,,
70.15,2705812.54527633,93.97911674,13.12025330,40.17699940,2705959.82164577,,,,
70.76,2705804.54236925,97.97502721,13.67812317,41.90150335,2705958.09702298,,,,
71.37,2705796.19920045,102.14082006,14.25971106,43.69933278,2705956.29906436,,,,
71.98,2705787.50130533,106.48371592,14.86602513,45.57360515,2705954.42465153,,,,
72.59,2705778.43360460,111.01124216,15.49811638,47.52757041,2705952.47053354,,,,
73.20,2705768.98037816,115.73124594,16.15708046,49.56461668,2705950.43332123,,,,
73.81,2705759.12523793,120.65190775,16.84405957,51.68827607,2705948.30948132,,,,
74.42,2705748.85109946,125.78175555,17.56024444,53.90223084,2705946.09533029,,,,
75.03,2705738.14015237,131.12967955,18.30687637,56.21031974,2705943.78702802,,,,
75.64,2705726.97382951,136.70494752,19.08524941,58.61654469,2705941.38057112,,,,
76.25,2705715.33277487,142.51722087,19.89671255,61.12507767,2705938.87178596,,,,
76.86,2705703.19681007,148.57657130,20.74267211,63.74026800,2705936.25632148,,,,
77.47,2705690.54489946,154.89349822,21.62459412,66.46664982,2705933.52964162,,,,
78.08,2705677.35511371,161.47894689,22.54400688,69.30894999,2705930.68701746,,,,
78.69,2705663.60459191,168.34432730,23.50250360,72.27209622,2705927.72351902,,,,
79.30,2705649.26950205,175.50153391,24.50174513,75.36122563,2705924.63400672,,,,
79.91,2705634.32499975,182.96296615,25.54346288,78.58169368,2705921.41312245,,,,
80.52,2705618.74518540,190.74154985,26.62946175,81.93908334,2705918.05528033,,,,
81.13,2705602.50305928,198.85075953,27.76162328,85.43921486,2705914.55465695,,,,
81.74,2705585.57047499,207.30464167,28.94190891,89.08815579,2705910.90518136,,,,
82.35,2705567.91809077,216.11783892,30.17236333,92.89223146,2705907.10052448,,,,
82.96,2705549.51531879,225.30561535,31.45511804,96.85803599,2705903.13408817,,,,
83.57,2705530.33027233,234.88388280,32.79239500,100.99244364,2705898.99899377,,,,
84.18,2705510.32971069,244.86922827,34.18651051,105.30262071,2705894.68807018,,,,
84.79,2705489.47898180,255.27894255,35.63987914,109.79603797,2705890.19384146,,,,
85.40,2705467.74196236,266.13104994,37.15501796,114.48048355,2705885.50851381,,,,
86.01,2705445.08099553,277.44433938,38.73455082,119.36407643,2705880.62396216,,,,
86.62,2705421.45682589,289.23839673,40.38121291,124.45528043,2705875.53171597,,,,
87.23,2705396.82853172,301.53363852,42.09785547,129.76291893,2705870.22294465,,,,
87.84,2705371.15345441,314.35134709,43.88745068,135.29619002,2705864.68844220,,,,
88.45,2705344.38712485,327.71370716,45.75309681,141.06468249,2705858.91861131,,,,
89.06,2705316.48318680,341.64384400,47.69802351,147.07839234,2705852.90344665,,,,
89.67,2705287.39331694,356.16586319,49.72559741,153.34774008,2705846.63251762,,,,
90.28,2705257.06714158,371.30489204,51.83932789,159.88358870,2705840.09495021,,,,
90.89,2705225.45214990,387.08712270,54.04287311,166.69726250,2705833.27940821,,,,
91.50,2705192.49360346,403.53985719,56.34004633,173.80056656,2705826.17407354,,,,
92.11,2705158.13444194,420.69155422,58.73482242,181.20580719,2705818.76662578,,,,
92.72,2705122.31518496,438.57187801,61.23134472,188.92581316,2705811.04422085,,,,
93.33,2705084.97382966,457.21174915,63.83393213,196.97395780,2705802.99346874,,,,
93.94,2705046.04574404,476.64339758,66.54708655,205.36418214,2705794.60041032,,,,
94.55,2705005.46355587,496.90041780,69.37550058,214.11101891,2705785.85049316,,,,
95.16,2704963.15703677,518.01782635,72.32406558,223.22961766,2705776.72854635,,,,
95.77,2704919.05298160,540.03212176,75.39788003,232.73577082,2705767.21875421,,,,
96.38,2704873.07508270,562.98134694,78.60225830,242.64594096,2705757.30462890,,,,
96.99,2704825.14379881,586.90515417,81.94273972,252.97728917,2705746.96898187,,,,
97.60,2704775.17621861,611.84487280,85.42509808,263.74770463,2705736.19389412,,,,
98.21,2704723.08591846,637.84357985,89.05535146,274.97583539,2705724.96068516,,,,
98.82,2704668.78281419,664.94617338,92.83977257,286.68112053,2705713.24988067,,,,
99.43,2704612.17300671,693.19944908,96.78489944,298.88382360,2705701.04117883,,,,
100.04,2704553.15862116,722.65217987,100.89754658,311.60506749,2705688.31341510,,,,
100.65,2704491.63763935,753.35519899,105.18481658,324.86687077,2705675.04452569,,,,
101.26,2704427.50372515,785.36148630,109.65411226,338.69218560,2705661.21150931,,,,
101.87,2704360.64604266,818.72625838,114.31314925,353.10493711,2705646.79038739,,,,
102.48,2704290.94906678,853.50706214,119.16996911,368.13006457,2705631.75616261,,,,
103.09,2704218.29238587,889.76387246,124.23295305,383.79356425,2705616.08277564,,,,
103.70,2704142.55049622,927.55919374,129.51083611,400.12253399,2705599.74306007,,,,
104.31,2704063.59258796,966.95816565,135.01272203,417.14521978,2705582.70869542,,,,
104.92,2703981.28232208,1008.02867326,140.74809867,434.89106417,2705564.95015819,,,,
105.53,2703895.47759824,1050.84146163,146.72685410,453.39075679,2705546.43667076,,,,
106.14,2703806.03031288,1095.47025513,152.95929331,472.67628694,2705527.13614825,,,,
106.75,2703712.78610738,1141.99188160,159.45615564,492.78099838,2705507.01514300,,,,
107.36,2703615.58410578,1190.48640160,166.22863296,513.73964644,2705486.03878679,,,,
107.97,2703514.25664168,1241.03724291,173.28838848,535.58845750,2705464.17073057,,,,
108.58,2703408.62897384,1293.73134049,180.64757644,558.36519091,2705441.37308168,,,,
109.19,2703298.51899014,1348.65928209,188.31886257,582.10920357,2705417.60633837,,,,
109.80,2703183.73689925,1405.91545984,196.31544535,606.86151713,2705392.82932157,,,,
110.41,2703064.08490978,1465.59822780,204.65107818,632.66488805,2705366.99910381,,,,
111.02,2702939.35689612,1527.81006604,213.34009242,659.56388048,2705340.07093506,,,,
111.63,2702809.33805073,1592.65775114,222.39742136,687.60494228,2705311.99816551,,,,
112.24,2702673.80452211,1660.25253363,231.83862522,716.83648411,2705282.73216507,,,,
112.85,2702532.52303808,1730.71032248,241.67991702,747.30896185,2705252.22223943,,,,
113.46,2702385.25051365,1804.15187694,251.93818965,779.07496239,2705220.41554263,,,,
114.07,2702231.73364300,1880.70300600,262.63104393,812.18929296,2705187.25698590,,,,
114.68,2702071.70847490,1960.49477574,273.77681780,846.70907427,2705152.68914270,,,,
115.29,2701904.89997087,2043.66372487,285.39461669,882.69383728,2705116.65214971,,,,
115.90,2701731.02154561,2130.35208878,297.50434512,920.20562419,2705079.08360369,,,,
